S.No,Name,Date ,Time ,Lan,Lat,SensorId,PressureSensor,TempratureSensor,VolumeSensor(dm2)
1,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:00,19.66328,75.300293,7AEF1,300.5,26.1,25
2,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:05,19.66328,75.300293,7AEF1,300.5,26.1,24
3,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:10,19.66328,75.300293,7AEF1,55,26,24
4,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:15,19.66328,75.300293,7AEF1,400.6,26.6,25
5,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:20,19.66328,75.300293,7AEF1,300.5,26.8,24
6,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:25,19.66328,75.300293,7AEF1,300.5,26,24
7,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:30,19.66328,75.300293,7AEF1,325,26.2,25
8,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:35,19.66328,75.300293,7AEF1,1800,,24
9,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:40,19.66328,75.300293,7AEF1,400.6,26,25
10,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:45,19.66328,75.300293,7AEF1,300.5,26.55,26
11,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:50,19.66328,75.300293,7AEF1,12,26,24
12,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:55,19.66328,75.300293,7AEF1,400.2,26.4,24
13,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:00,19.66328,75.300293,7AEF1,299,26.7,26
14,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:05,19.66328,75.300293,7AEF1,300.5,,25
15,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:10,19.66328,75.300293,7AEF1,400.6,26.55,24
16,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:15,19.66328,75.300293,7AEF1,325,26.7,25
17,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:20,19.66328,75.300293,7AEF1,300.5,26,24
18,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:25,19.66328,75.300293,7AEF1,18.5,26.55,24
19,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:30,19.66328,75.300293,7AEF1,300.5,26,25
20,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:35,19.66328,75.300293,7AEF1,400.2,26,24
21,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:40,19.66328,75.300293,7AEF1,300.5,26.1,24
22,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:45,19.66328,75.300293,7AEF1,300.5,,24
23,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:50,19.66328,75.300293,7AEF1,328.5,26.1,24
24,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:55,19.66328,75.300293,7AEF1,300.5,26,24
25,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:00,19.66328,75.300293,7AEF1,328.5,26.55,25
26,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:05,19.66328,75.300293,7AEF1,300.5,26,24
27,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:10,19.66328,75.300293,7AEF1,400.6,26,24
28,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:15,19.66328,75.300293,7AEF1,300.5,26.1,24
29,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:20,19.66328,75.300293,7AEF1,328.5,26,24
30,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:25,19.66328,75.300293,7AEF1,300.5,26.55,23
31,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:30,19.66328,75.300293,7AEF1,300.5,26,24
32,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:35,19.66328,75.300293,7AEF1,328.5,26,24
33,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:40,19.66328,75.300293,7AEF1,300.5,26.1,23
34,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:45,19.66328,75.300293,7AEF1,328.5,26,24
35,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:50,19.66328,75.300293,7AEF1,300.5,26.1,25
36,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:55,19.66328,75.300293,7AEF1,300.5,26.55,24
37,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:00,19.66328,75.300293,7AEF1,300.5,26,24
38,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:05,19.66328,75.300293,7AEF1,300.5,26,25
39,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:10,19.66328,75.300293,7AEF1,328.5,26,24
40,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:15,19.66328,75.300293,7AEF1,300.5,26.55,24
41,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:20,19.66328,75.300293,7AEF1,300.5,26,25
42,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:25,19.66328,75.300293,7AEF1,400.2,26.1,24
43,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:30,19.66328,75.300293,7AEF1,300.5,26,25
44,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:35,19.66328,75.300293,7AEF1,400.2,26.55,24
45,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:40,19.66328,75.300293,7AEF1,300.5,26,24
46,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:45,19.66328,75.300293,7AEF1,300.5,26,24
47,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:50,19.66328,75.300293,7AEF1,400.2,26.55,25
48,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,10:55,19.66328,75.300293,7AEF1,300.5,26,24
49,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:00,19.66328,75.300293,7AEF1,300.5,26,24
50,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:05,19.66328,75.300293,7AEF1,300.5,26,24
51,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:10,19.66328,75.300293,7AEF1,400.2,26,25
52,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:15,19.66328,75.300293,7AEF1,300.5,26.55,24
53,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:20,19.66328,75.300293,7AEF1,300.5,26,25
54,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:25,19.66328,75.300293,7AEF1,400.2,26.1,24
55,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:30,19.66328,75.300293,7AEF1,300.5,26,24
56,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:35,19.66328,75.300293,7AEF1,300.5,26,24
57,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:40,19.66328,75.300293,7AEF1,300.5,26.55,26
58,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:45,19.66328,75.300293,7AEF1,400.2,26,25
59,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:50,19.66328,75.300293,7AEF1,300.5,26,24
60,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,11:55,19.66328,75.300293,7AEF1,300.5,26.55,24
61,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:00,19.66328,75.300293,7AEF1,325,26,24
62,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:05,19.66328,75.300293,7AEF1,325,26,26
63,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:10,19.66328,75.300293,7AEF1,400.2,26.55,24
64,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:15,19.66328,75.300293,7AEF1,300.5,26,24
65,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:20,19.66328,75.300293,7AEF1,300.5,26.1,26
66,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:25,19.66328,75.300293,7AEF1,300.5,26,24
67,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:30,19.66328,75.300293,7AEF1,300.5,26,26
68,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:35,19.66328,75.300293,7AEF1,400.2,26.55,24
69,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:40,19.66328,75.300293,7AEF1,300.5,26,25
70,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,12:45,19.66328,75.300293,7AEF1,325,26.55,24
